   1.7937934e-01   2.8177026e-01   1.0314783e-01   8.0175304e-01   2.6022609e-02  -4.1182609e-03  -1.0885826e+00  -3.5971304e-01  -1.0323478e-02   6.6454435e-01   1.4921739e-02   3.4480000e-02  -9.2339130e-01  -3.3393391e-01   1.1233043e-02   7.7855304e-01  -8.8930435e-02  -6.8951304e-01  -6.7688696e-01  -2.7866435e-01   1.2459304e+00  -1.3900991e+00   7.8200870e-02  -2.7996522e-01   7.4044000e-01  -5.4560522e-01   3.0469565e-02  -9.4191304e-03  -1.3570419e+00   8.2086957e-04
   9.4757386e-02   2.2051918e-01   6.7304490e-02   7.6024490e-01   2.9906939e-02  -1.2533878e-02  -9.9794286e-01  -3.3097959e-01  -8.3722449e-03   6.2889796e-01   9.6946939e-03   4.3216327e-02  -8.3923265e-01  -3.0564735e-01   1.0636735e-02   7.1503673e-01  -1.6194939e-01  -6.6801633e-01  -7.8391837e-01  -3.3916735e-01   1.2414041e+00  -1.3761718e+00   2.5704816e-02  -2.4595918e-01   7.5974367e-01  -5.4774204e-01   3.1559184e-02  -9.7697959e-03  -1.2434364e+00   4.6367347e-04
   3.7833239e-02   1.6720141e-01   3.7418039e-02   7.2565333e-01   3.4458039e-02  -1.9615686e-02  -9.0739608e-01  -2.9581020e-01  -7.0635294e-03   6.0037333e-01   3.4917647e-03   5.0665098e-02  -7.5515294e-01  -2.7061176e-01   1.0597647e-02   6.6078902e-01  -2.1750275e-01  -6.4505098e-01  -8.7149804e-01  -3.7960157e-01   1.2359263e+00  -1.3749023e+00  -1.8949176e-02  -2.1894902e-01   7.7887373e-01  -5.5104314e-01   3.3505882e-02  -1.0448627e-02  -1.1693551e+00  -1.0980392e-05
  -3.6537872e-03   1.3591013e-01   1.2735319e-02   7.7351660e-01   4.4638298e-02  -2.9405957e-02  -9.0961532e-01  -2.8615660e-01  -7.6187234e-03   6.4084766e-01  -4.3795745e-03   6.4587234e-02  -7.4713191e-01  -2.5792340e-01   1.2997447e-02   6.7772255e-01  -2.9076085e-01  -6.8629787e-01  -1.0554043e+00  -4.4997787e-01   1.3672170e+00  -1.5315006e+00  -6.3492426e-02  -2.2318298e-01   8.8912170e-01  -6.1872851e-01   4.0136170e-02  -1.2692766e-02  -1.2499609e+00  -6.1617021e-04
  -3.8991896e-02   9.7184696e-02  -1.3789565e-02   7.7164696e-01   5.4751304e-02  -3.8114783e-02  -8.4016870e-01  -2.4913913e-01  -8.9182609e-03   6.4092522e-01  -1.5172174e-02   7.5612174e-02  -6.7794783e-01  -2.1882435e-01   1.6097391e-02   6.4233043e-01  -3.4253043e-01  -6.7347826e-01  -1.1760000e+00  -4.8102261e-01   1.4079739e+00  -1.5897842e+00  -1.0602417e-01  -2.1913043e-01   9.4624348e-01  -6.4859304e-01   4.5234783e-02  -1.4603478e-02  -1.2658720e+00  -1.3513043e-03
  -6.8892782e-02   6.3364364e-02  -4.0956364e-02   7.8608909e-01   6.8898182e-02  -4.7454545e-02  -7.7895636e-01  -2.1082182e-01  -1.1550909e-02   6.5538182e-01  -2.9645455e-02   8.8441818e-02  -6.1325455e-01  -1.7645636e-01   2.0885455e-02   6.1134000e-01  -3.9677091e-01  -6.6636364e-01  -1.3199818e+00  -5.1016364e-01   1.4730200e+00  -1.6754029e+00  -1.5371945e-01  -2.2474545e-01   1.0238242e+00  -6.9161273e-01   5.1727273e-02  -1.7058182e-02  -1.3176353e+00  -2.2690909e-03
  -8.4608374e-02   2.7790979e-02  -6.2519149e-02   7.1800340e-01   7.8129362e-02  -5.0289362e-02  -6.3810213e-01  -1.5100936e-01  -1.3666383e-02   6.0118809e-01  -4.3668085e-02   9.0738723e-02  -4.8485106e-01  -1.1443745e-01   2.4190638e-02   5.1123404e-01  -4.0136681e-01  -5.8498723e-01  -1.3125957e+00  -4.7390128e-01   1.3744732e+00  -1.5716225e+00  -1.8644170e-01  -2.0987234e-01   9.8858094e-01  -6.5781617e-01   5.2697872e-02  -1.7736170e-02  -1.2306141e+00  -2.9719149e-03
  -1.0258061e-01  -2.0991304e-04  -8.8347826e-02   7.1810087e-01   9.6916522e-02  -5.5953043e-02  -5.7352174e-01  -1.1462783e-01  -1.7306087e-02   6.0294783e-01  -6.3920000e-02   1.0011826e-01  -4.1488696e-01  -7.0189565e-02   2.9975652e-02   4.5669217e-01  -4.3613043e-01  -5.5746087e-01  -1.4151652e+00  -4.7409217e-01   1.3979530e+00  -1.5998783e+00  -2.3843148e-01  -2.1650435e-01   1.0411986e+00  -6.8189391e-01   5.8052174e-02  -1.9921739e-02  -1.2519151e+00  -3.8156522e-03
  -9.4666759e-02  -2.1276286e-02  -9.2384286e-02   5.8002571e-01   9.6338571e-02  -4.8910000e-02  -4.3542429e-01  -7.7770000e-02  -1.6898571e-02   4.8569571e-01  -7.0305714e-02   8.8465714e-02  -2.9775714e-01  -3.2968571e-02   2.8971429e-02   3.1757000e-01  -3.7751000e-01  -4.2550000e-01  -1.2238000e+00  -3.7997857e-01   1.1445614e+00  -1.2990357e+00  -2.4054129e-01  -1.8101429e-01   8.8263457e-01  -5.6909571e-01   5.1100000e-02  -1.7778571e-02  -1.0151461e+00  -3.4742857e-03
  -1.1732477e-01  -4.8880833e-02  -1.3068667e-01   6.7151833e-01   1.3711667e-01  -5.9315000e-02  -5.0468000e-01  -9.2143333e-02  -2.2610000e-02   5.5713667e-01  -1.0700000e-01   1.1091667e-01  -3.2681667e-01  -2.6060000e-02   3.8886667e-02   2.9530667e-01  -4.6087667e-01  -4.5973333e-01  -1.5003833e+00  -4.3151500e-01   1.3322583e+00  -1.4844382e+00  -3.4358402e-01  -2.1446667e-01   1.0621422e+00  -6.7375333e-01   6.4200000e-02  -2.2561667e-02  -1.1535113e+00  -4.0216667e-03
